Dia,Susceptibles,Infectados,Recuperados,Muertos,Infectados_Acumulados,R0
247,969067,4069,22501,4363,4293,0.00370004933399112
248,968789,4124,22692,4395,4348,0.013516834603096583
249,968541,4120,22911,4428,4348,-0.0009699321047526673
250,968240,4169,23130,4461,4397,0.011893203883495145
251,967970,4224,23322,4484,4452,0.013192612137203167
252,967669,4274,23528,4529,4502,0.011837121212121212
253,967389,4306,23733,4572,4534,0.007487131492746842
254,967113,4344,23929,4614,4572,0.008824895494658615
255,966863,4346,24133,4658,4574,0.00046040515653775324
256,966581,4360,24351,4708,4588,0.0032213529682466636
257,966299,4360,24590,4751,4588,0.0
258,966044,4349,24800,4807,4588,-0.002522935779816514
259,965745,4390,25012,4853,4629,0.00942745458726144
260,965469,4396,25229,4906,4635,0.001366742596810934
261,965178,4433,25441,4948,4672,0.008416742493175615
262,964918,4434,25667,4981,4673,0.00022558087074216106
263,964634,4474,25869,5023,4713,0.009021199819576003
264,964361,4488,26093,5058,4727,0.0031291908806437194
265,964063,4496,26335,5106,4735,0.0017825311942959
266,963760,4526,26550,5164,4765,0.0066725978647686835
267,963469,4549,26768,5214,4788,0.005081749889527177
268,963158,4594,26990,5258,4833,0.009892284018465597
269,962868,4601,27224,5307,4840,0.0015237265999129299
270,962550,4644,27452,5354,4883,0.009345794392523364
271,962266,4648,27684,5402,4887,0.0008613264427217916
272,961972,4659,27926,5443,4898,0.0023666092943201377
273,961659,4684,28176,5481,4923,0.0053659583601631256
274,961359,4715,28405,5521,4954,0.006618274978650726
275,961069,4732,28642,5557,4971,0.0036055143160127253
276,960776,4750,28876,5598,4989,0.0038038884192730348
277,960458,4760,29147,5635,4999,0.002105263157894737
278,960179,4754,29391,5676,4999,-0.0012605042016806723
279,959874,4786,29631,5709,5031,0.006731173748422381
280,959572,4781,29887,5760,5031,-0.0010447137484329294
281,959280,4785,30122,5813,5035,0.0008366450533361222
282,959012,4784,30350,5854,5035,-0.0002089864158829676
283,958704,4809,30588,5899,5060,0.005225752508361204
284,958396,4820,30836,5948,5071,0.0022873778332293615
285,958080,4855,31062,6003,5106,0.007261410788381743
286,957757,4866,31310,6067,5117,0.0022657054582904223
287,957430,4900,31561,6109,5151,0.006987258528565557
288,957116,4932,31797,6155,5183,0.006530612244897959
289,956818,4948,32039,6195,5199,0.0032441200324412004
290,956489,4981,32297,6233,5232,0.006669361358124495
291,956174,4983,32563,6280,5234,0.0004015257980325236
292,955847,5028,32798,6327,5279,0.009030704394942806
293,955505,5087,33040,6368,5338,0.011734287987271282
294,955197,5122,33272,6409,5373,0.006880283074503637
295,954877,5152,33506,6465,5403,0.005857087075361187
296,954522,5217,33751,6510,5468,0.012616459627329192
297,954185,5249,34000,6566,5500,0.006133793367835921
298,953867,5279,34242,6612,5530,0.005715374357020385
299,953576,5241,34513,6670,5530,-0.007198333017616973
300,953255,5268,34755,6722,5557,0.005151688609044075
301,952916,5323,34999,6762,5612,0.01044039483675019
302,952606,5299,35270,6825,5612,-0.0045087356753710315
303,952261,5332,35543,6864,5645,0.006227590111341763
304,951906,5350,35827,6917,5663,0.0033758439609902473
305,951567,5353,36113,6967,5666,0.0005607476635514019
306,951238,5353,36388,7021,5666,0.0
307,950913,5353,36659,7075,5666,0.0
308,950610,5341,36916,7133,5666,-0.0022417336073229962
309,950273,5352,37178,7197,5677,0.0020595394120951132
310,949933,5401,37433,7233,5726,0.009155455904334827
311,949589,5436,37689,7286,5761,0.0064802814293649326
312,949233,5463,37964,7340,5788,0.004966887417218543
313,948904,5500,38215,7381,5825,0.006772835438403808
314,948550,5519,38494,7437,5844,0.0034545454545454545
315,948222,5503,38784,7491,5844,-0.002899075919550643
316,947896,5518,39040,7546,5859,0.002725785934944576
317,947575,5566,39279,7580,5907,0.008698803914461761
318,947263,5513,39587,7637,5907,-0.009522098454904778
319,946931,5527,39865,7677,5921,0.002539452203881734
320,946578,5562,40134,7726,5956,0.006332549303419577
321,946245,5578,40393,7784,5972,0.002876663070837828
322,945886,5616,40657,7841,6010,0.006812477590534241
323,945521,5629,40945,7905,6023,0.0023148148148148147
